id,name_zh,name_en,category,type,desc_zh,desc_en,domain,website,has_logo,hero_image
zhenfan,真芳 碳烤吐司,Zhen Fang,food,retail,把台式早餐做到極致的當代炭烤吐司品牌。,A modern Taiwanese breakfast brand reimagining charcoal-grilled toast.,zhenfang.com.tw,https://www.zhenfang.com.tw,yes,
vacanza,Vacanza Accessory,Vacanza Accessory,fashion,retail,以「日常感」聞名的台灣輕珠寶品牌，全台逾 30 個據點。,A Taiwan-born jewelry label known for everyday-wearable design — 30+ locations nationwide.,vacanza.com.tw,https://www.vacanza.com.tw,yes,
backerfounder,貝殼放大,Backer-Founder,platform,retail,華語世界最大的群眾集資顧問公司，從 0 到 50 億的集資推手。,The largest crowdfunding agency in the Chinese-speaking world — over NT$5B raised for clients.,backer-founder.com,https://backer-founder.com,yes,
cofit,Cofit 群健,Cofit,wellness,retail,結合營養師與 AI 的個人化健康管理平台，全台最大線上營養師團隊。,A personalized health platform combining registered dietitians with AI — Taiwan's largest online dietitian team.,cofit.me,https://events.cofit.me,yes,
appworks,AppWorks 之初加速器,AppWorks,investment,retail,大東南亞最大的新創加速器與創投，培育超過 500 家新創。,Greater Southeast Asia's largest startup accelerator and venture capital — 500+ portfolio companies.,appworks.tw,https://appworks.tw,yes,
dengyi,登義漢方,Dengyi,wellness,retail,百年漢方藥行的當代轉譯，把中醫帶回日常。,A century-old Chinese medicine house translated for modern daily life.,dengyi1985.com,https://www.dengyi1985.com,yes,
kure8,KURE8 8酵茶,KURE8 Kombucha,food,retail,全台首間主打康普茶的手搖飲料品牌，現拉精釀、微氣泡。,Taiwan's first kombucha-led tea bar — small-batch brewed with sparkling fruit notes.,kure8kombucha.com,https://www.kure8kombucha.com,yes,
chill-ice-bath,Chill Ice Bath,Chill,wellness,retail,台灣第一家以冷熱療法為核心的恢復空間，由 Jacky 創立。,Taiwan's first contrast-therapy recovery studio — founded by Jacky.,chilltaiwan.substack.com,https://www.instagram.com/chill.taiwan/,no,
nubra,NuBra 絕世好波,NuBra,fashion,retail,風靡全球的隱形內衣品牌，在台灣以 nu9 經營專櫃與旗艦店。,"The globally-loved adhesive bra, operated in Taiwan as nu9 with department-store counters and a Xinyi flagship.",nu9.com.tw,https://www.nu9.com.tw,yes,
phrozen,Phrozen 普羅森,Phrozen,tech,online,全球領先的 LCD 3D 列印機品牌，總部位於新竹。,"A leading global LCD 3D printer brand, headquartered in Hsinchu.",phrozen3d.com,https://phrozen3d.com,yes,
tixcraft,拓元售票 tixCraft,tixCraft,platform,online,台灣最大的售票平台之一，承接無數演唱會與表演。,"One of Taiwan's largest ticketing platforms, powering countless live shows.",tixcraft.com,https://tixcraft.com,yes,
kkday,KKday 酷遊天,KKday,travel,online,亞洲領先的旅遊體驗預訂平台，總部位於台北。,"Asia's leading travel-experiences marketplace, headquartered in Taipei.",kkday.com,https://www.kkday.com,yes,
4foodie,4Foodie,4Foodie,media,online,美食愛好者的內容社群，從 IG 起家的吃貨宇宙。,A food-lover's content community born on Instagram.,instagram.com,https://www.instagram.com/4foodie,yes,
cyberbiz,CYBERBIZ 順立智慧,CYBERBIZ,platform,online,全方位的台灣電商開店平台，賦能上萬個品牌。,A full-stack Taiwanese e-commerce platform empowering thousands of brands.,cyberbiz.io,https://www.cyberbiz.io,yes,
popdaily,PopDaily 波波黛莉,PopDaily,media,online,台灣女性世代最大的生活媒體與社群。,Taiwan's largest lifestyle media platform for the next-gen female audience.,popdaily.com.tw,https://www.popdaily.com.tw,yes,
pressplay,PressPlay,PressPlay,creator,online,華語最大的創作者訂閱與課程平台。,The largest Chinese-language creator subscription and course platform.,pressplay.cc,https://www.pressplay.cc,yes,
speak,Speak,Speak,education,online,用 AI 對話練習口說的英文學習 app，由 12 歲上大學的天才創辦。,An AI-powered conversational English-learning app — co-founded by a child prodigy who entered college at 12.,speak.com,https://www.speak.com,no,
wemo,WeMo Scooter,WeMo Scooter,mobility,online,台灣首個共享電動機車服務，城市移動的綠色解方。,Taiwan's first shared e-scooter service — sustainable urban mobility.,wemoscooter.com,https://www.wemoscooter.com,yes,
nunox,NunoX,NunoX,tech,online,用 AI 把布料數位化的 SaaS，重塑紡織業數位流程。,An AI SaaS digitizing textiles — transforming how the apparel industry works.,nunox.ai,https://nunox.ai,yes,
megan,Megan Chang,Megan Chang,creator,online,Soft Skill Savant — 把職場軟實力說得既誠實又有力的創作者。,Soft Skill Savant — a creator translating workplace soft skills with honesty and power.,softskillsavant.com,https://www.softskillsavant.com,no,
