brand_id,name_zh,name_en,address_zh,address_en,lat,lng,gmaps_url
zhenfan,信義創始店,Xinyi (Original),台北市信義區忠孝東路四段559巷16弄17號,"No. 17, Aly. 16, Ln. 559, Sec. 4, Zhongxiao E. Rd., Xinyi Dist., Taipei",25.042401,121.564244,
zhenfan,民生松江店,Minsheng-Songjiang,台北市中山區民生東路二段129號,"No. 129, Sec. 2, Minsheng E. Rd., Zhongshan Dist., Taipei",25.058086,121.532289,
zhenfan,大安和平店,Da'an-Heping,台北市大安區和平東路二段209號,"No. 209, Sec. 2, Heping E. Rd., Da'an Dist., Taipei",25.025193,121.542559,
zhenfan,長安天津店,Chang'an-Tianjin,台北市中山區長安東路一段19號,"No. 19, Sec. 1, Chang'an E. Rd., Zhongshan Dist., Taipei",25.049633,121.522984,
zhenfan,民生敦北店,Minsheng-Dunbei,台北市松山區民生東路四段105號,"No. 105, Sec. 4, Minsheng E. Rd., Songshan Dist., Taipei",25.058189,121.552629,
zhenfan,內湖港墘店,Neihu-Gangqian,台北市內湖區港墘路169號,"No. 169, Gangqian Rd., Neihu Dist., Taipei",25.076768,121.575348,
vacanza,Vacanza Lab 實驗店,Vacanza Lab,台北市中山區中山北路二段36巷37號1F,"1F, No. 37, Ln. 36, Sec. 2, Zhongshan N. Rd., Zhongshan Dist., Taipei",25.054359,121.520707,
vacanza,Vacanza Crush,Vacanza Crush,台北市中山區中山北路二段42巷25號,"No. 25, Ln. 42, Sec. 2, Zhongshan N. Rd., Zhongshan Dist., Taipei",25.054768,121.520851,
vacanza,Vacanza Tea Time 信義威秀,Vacanza Tea Time — Xinyi Vieshow,台北市信義區松壽路20號,"No. 20, Songshou Rd., Xinyi Dist., Taipei",25.035641,121.567405,
vacanza,Vacanza Park 台北車站店,Vacanza Park — Taipei Station,台北市大同區承德路一段1號B1F,"B1F, No. 1, Sec. 1, Chengde Rd., Datong Dist., Taipei",25.04909,121.516784,
vacanza,Vacanza Coffee Town 中山店,Vacanza Coffee Town,台北市大同區南京西路25巷4-1號,"No. 4-1, Ln. 25, Nanjing W. Rd., Datong Dist., Taipei",25.053843,121.520279,
vacanza,誠品松菸概念店,Eslite Songshan,台北市信義區菸廠路88號2F,"2F, No. 88, Yancang Rd., Xinyi Dist., Taipei",25.044737,121.561111,
vacanza,信義新光三越專櫃,Shin Kong Mitsukoshi Xinyi A8,台北市信義區松高路12號,"No. 12, Songgao Rd., Xinyi Dist., Taipei",25.038813,121.5668,
vacanza,Lalaport 南港,Lalaport Nangang,台北市南港區經貿二路131號3F,"3F, No. 131, Jingmao 2nd Rd., Nangang Dist., Taipei",25.059345,121.617583,
backerfounder,貝殼放大 總部,Backer-Founder HQ,台北市萬華區大理街132之7號1樓,"1F, No. 132-7, Dali St., Wanhua Dist., Taipei",25.034068,121.496682,
cofit,Cofit 總部,Cofit HQ,台北市中山區松江路363號12樓,"12F, No. 363, Songjiang Rd., Zhongshan Dist., Taipei",25.063826,121.533458,
appworks,AppWorks 辦公室,AppWorks Office,台北市信義區基隆路一段178號6F,"6F, No. 178, Sec. 1, Keelung Rd., Xinyi Dist., Taipei",25.042394,121.564965,
dengyi,登義參藥行（新莊輔大店）,Dengyi (Xinzhuang Fu Jen),新北市新莊區建福路59巷8號,"No. 8, Ln. 59, Jianfu Rd., Xinzhuang Dist., New Taipei City",25.027264,121.427194,
kure8,大安復興店,Da'an-Fuxing Flagship,台北市大安區復興南路二段9號,"No. 9, Sec. 2, Fuxing S. Rd., Da'an Dist., Taipei",25.032701,121.543793,
kure8,南港店,Nangang,台北市南港區興東街3號,"No. 3, Xingdong St., Nangang Dist., Taipei",25.055594,121.612945,
kure8,大安忠孝店,Da'an-Zhongxiao,台北市大安區忠孝東路四段181巷7弄3號,"No. 3, Aly. 7, Ln. 181, Sec. 4, Zhongxiao E. Rd., Da'an Dist., Taipei",25.042191,121.550946,
chill-ice-bath,Chill 大安店,Chill — Da'an,台北市大安區敦化南路二段63巷46號,"No. 46, Ln. 63, Sec. 2, Dunhua S. Rd., Da'an Dist., Taipei",25.030889,121.551169,
nubra,NuBra 信義旗艦店,NuBra Xinyi Flagship,台北市信義區松高路12號2樓,"2F, No. 12, Songgao Rd., Xinyi Dist., Taipei",25.038813,121.5668,
