num	summary_zh	summary_takeaways	summary_meta	summary_status
1	一台從國外買回、改了又改的二手列印機，竟長成台灣少數打進國際的 3D 列印品牌。普羅森 Phrozen 創辦人吳彞任（Ray）從杜邦工程師起步，與夥伴 Alex 在下班後鑽研光固化技術，靠群眾募資拿到第一桶金，再把眾人看不起的 LCD 做成主流：移除彩色濾光片、把列印速度一舉拉高五倍。這集聊他如何在沒有專利的紅海裡，用規格、品牌與材料策略走向世界舞台。	先求能走，再求跑得快｜Ray 坦言一開始若硬要做出歐美等級的材料根本辦不到，於是刻意把標準降低、先讓機器「能動」就好，靠認識的材料界朋友送樣測試，才讓自建光固化材料的評估得以啟動。 ‖ 被同業看不起的技術，反而是缺口｜當年多數廠商認為 LCD 壽命短、像玩具，沒有競爭力。但 Ray 與 Alex 看準 LCD 能同時兼顧尺寸與解析度，後來再移除彩色濾光片、開單色面板模具，把固化時間從 10 秒壓到 1.5 秒，速度提升五倍，重新定義了這個賽道。 ‖ 沒有專利，就用規格、通路與材料築牆｜單色 LCD 當時被判定不具專利性，深圳對手很快跟上。普羅森改以更高規格（4K、8K）、小中大全尺寸產品線、消費機與專業機並進，並加碼材料投資做 Total Solution，用 20 到 40% 的溢價在價格戰中守住品牌。	普羅森 Phrozen 創辦人吳彞任（Ray）專訪：從杜邦工程師到自建光固化材料，把被看衰的 LCD 做成五倍速主流，帶台灣 3D 列印品牌走向世界。	ready-for-review
3	從棒球漫畫《Touch》入坑、靠著一張黃牛票的怨念，邱光宗（KT）一頭栽進票務世界。他幫兄弟象兩週寫出第一版售票系統，看準 7-ELEVEN 的 iBon 末端「全押」，再用 AWS 雲端扛住開賣瞬間的爆量，創下 12 分鐘清空 12 萬張票卡的紀錄，最後讓拓元售票 tixCraft 被全球售票龍頭 Ticketmaster 收編，把台灣的售票技術帶向世界。	用既有籌碼把談判桌兩端拉在一起｜KT 手上握著六支職棒球隊的票源，便以此說服剛推出 iBon 的統一合作，再回頭用 iBon 通路說服球隊與聯盟，讓彼此原本對立的雙方因共同利益而成局。 ‖ 選對商業模式比拚技術更關鍵｜比起電商要顧物流、逆物流與退換貨客服，售票只需處理金流與資訊流，交易完成、錢收到即結束。KT 認為這才是最理想、最值得投入資源的模式。 ‖ 看著存款下降會慌，就先別創業｜KT 坦言曾遇到信用卡繳不出、得跟同事調頭寸的時刻，但他不會因此睡不著。他認為若會因現金流失而恐慌，容易做出錯誤判斷，這種人或許不適合創業。	拓元售票 tixCraft 創辦人邱光宗（KT）專訪：從棒球迷到兩週寫出售票系統，押注 iBon、寫下 12 分鐘清 12 萬張紀錄，最終被 Ticketmaster 併購。	ready-for-review
5	從恆春小鎮的觀光記憶，到大學休學回鄉開熱炒店、當了五年導遊、再赴澳洲打工換宿，張文哲（Russell）把每一段看似無關的經歷都變成養分。2015 年回到台北，他用「高品質、高效率」兩個原則，從零摸索：選用政府認證最貴的雞蛋、親自試泡半年的茶，打造出菜單精簡的真芳炭烤土司。他談錯了就改的速度、把員工視為夥伴的合作關係，以及為何堅持每間店都要有騎樓和廁所。一個關於不放棄、邊做邊修正的品牌故事。	錯了就改，速度決定一切｜開店第一週算錯定價，隔天就改。他認為溢價與信任，最終都回到「修正錯誤的速度」。 ‖ 以高單價反推高品質｜選用行政院公告最貴、最好的雞蛋，用政府認證確保品質，且不多賺，只把成本價差往上疊。 ‖ 精簡菜單，服務真實需求｜早餐客人要的是快；單品少才能先進先出、集中出餐，維持新鮮與效率。	真芳炭烤土司創辦人張文哲（Russell）專訪：從恆春熱炒店、導遊到澳洲打工換宿，如何用高品質與高效率打造觀光客票選台北必吃早餐店。	ready-for-review
7	從易遊網、燦星到易飛，再到從零打造 KKday，陳明明在旅遊業深耕逾二十年，連續挺過 SARS、金融海嘯與 COVID 三場危機。他談平台生意「雞生蛋」的難題：先砸錢把系統與內容做出來、不抽供應商佣金，正循環才轉得動；也聊 KKday 為何把團體行程拆成一個個體驗原件、開站第一天就上線五種語言衝國際。一段把危機化為轉機的創業故事。	平台是「雞」先於「蛋」｜旅行社靠變動成本能輕巧起步，平台卻得先重投 IT 與商品內容。KKday 早期不抽供應商佣金、甚至替他們免費上架搬貨，把內容與流量都養起來後，正循環才會自己轉動。 ‖ 把團體行程拆成可隨選的體驗原件｜廉航單段訂票與 Agoda、Airbnb 興起後，機票、住宿都能自己訂。陳明明看準缺口，把過去五天團裡的螃蟹吃到飽、破冰船一日遊拆成獨立商品，讓自由行旅客在當地隨選隨訂。 ‖ 活下來就能收割整個市場｜危機中撐住的人能接收退場對手砸錢教育出的市場，還會長出新技能。COVID 期間 KKday 轉做各地國內旅遊，疫後同時握有在地與國際兩條腿，比危機前更強壯。	酷遊天 KKday 創辦人陳明明專訪：從易遊網到 KKday，二十年旅遊創業經驗，如何挺過 SARS、金融海嘯與 COVID，打造旅遊體驗預訂平台。	ready-for-review
8	訪問 KKday 創辦人陳明明之後，三位主持人 Jonathan、Tim、Johnson 回到麥克風前，聊聊各自的收穫：旅遊平台與傳統旅遊業在商業模式上的根本差異、KKday 如何靠免費上架讓供應商與消費者形成飛輪、為中小型旅遊業者打造的 Rezio 後台系統，以及「以客戶體驗為北極星」的團隊文化。最後一段觀眾提問，三人也聊到 AI 與旅遊科技的未來。	平台與傳統旅遊業是兩種生意｜傳統旅遊靠個人經驗與人脈就能組團銷售；平台則要先砸錢與時間建立系統與網站架構，再養業務、行銷團隊，起步不易，但一旦跑起來，規模化能力遠勝傳統模式。 ‖ 免費上架啟動供需飛輪｜沒有流量供應商不願上架，沒有供應商消費者也不來。KKday 初期讓供應商免費上架旅遊產品，降低進入門檻、衝高商品數，逐步建立起雙邊飛輪，與 Airbnb 早期讓利拉攏供應商的做法相似。 ‖ Rezio 為中小業者解決後台痛點｜旅遊體驗多由在地中小型業者支撐，缺乏大集團的後台資源。KKday 投入成本打造 Rezio 這套 PMS，搭配手機 App 做後台、金流管理與開發票，減少 double booking，讓像小琉球潛水教練這樣的業者也能即時管理訂單。	訪問 KKday 創辦人陳明明後，主持人回顧平台飛輪、Rezio 系統與客戶體驗文化，並暢談 AI 旅遊科技趨勢。	ready-for-review
9	年收千萬卻毅然離開夜市、如今展店超過三十間的飾品品牌 Vacanza 假期飾品，起點其實是高雄眷村裡那個零用錢只有兩百塊、靠燒光碟和賣牛仔褲攢錢的女孩。Part 1 起源篇，創辦人亦與蟲蟲回到 2005 年的夜市攤位，聊扭扣飾品的削價競爭、如何靠冷門的「景泰蘭」工藝找到差異化，以及一段在饒河街黑暗中亮著的小攤前展開的緣分。	差異化來自冷門，不是跟風｜扭扣飾品人人都做，一對從 150 削到 50 元幾乎不賺錢。亦改去翻電話簿黃頁、跑板橋工廠，一間間切已停產的「景泰蘭」存貨，靠市場稀缺的工藝品做出差異，這才是夜市生意的起飛點。 ‖ 先跳進去做，才有手感再決定破圈｜亦坦言一開始對飾品沒太多感覺，只覺得門檻低就先試。她的邏輯是先投入累積手感，再判斷要繼續沉淪於紅海、還是想辦法破圈，而非等想清楚才動手。 ‖ 失敗的批發店，換來供應鏈經驗｜2007 年在北車開三坪批發店，因商品小眾、成本高、款式與會員數都拚不過大店，一年就收掉。但這段經驗讓她學會管理貨源，反過來支撐後續把擺攤點一路擴到七個。	飾品品牌 Vacanza 假期飾品創辦人亦與蟲蟲 Part 1 起源篇：從眷村女孩、夜市擺攤到景泰蘭差異化，聊創業的最初起點。	ready-for-review
10	Vacanza 假期飾品 Part 2，共同創辦人蟲蟲登場。她如何在過年夜逛饒河街、把壓歲錢 all in 在一個黑暗中的小飾品攤，又在颱風天把亦拉離攤位去看電影？亦與蟲蟲聊起品牌名 Vacanza 的由來、六個攤車全盛時期的推攤日常，以及讓一攤滾成年收破千萬的企圖心，還有那個埋下轉型伏筆的直覺。	品牌名先莫名其妙，意義是後來長出來的｜Vacanza 是義大利文的假期，但兩人從沒去過義大利，只是 Google 了各國「vacation」的說法後選的，還混入了喜歡的 FreeTempo 歌曲。亦後來體會到，很多品牌名都是莫名其妙開始，真正的意義是你做了夠多有意義的事之後才被賦予的。 ‖ 品牌內核來自觀察消費者的當下狀態｜他們發現顧客帶著吵架、分手、報告不順等各種情緒走進攤位，卻在拿起飾品比對的十五到二十分鐘完全抽離、專注當下。這個放鬆的 moment 就是他們定義的「假期」，成了 Vacanza 的核心概念。 ‖ 擴張的關鍵是拆解「哪些事非我不可」｜從一攤到六攤，亦靠的是強烈企圖心加體力，並不斷自問哪些事一定要自己做、哪些能交給協作。但這個 MVP 模式有極限：沒有 POS、沒有系統、沒有總部支援，加上工讀生離職後模仿開攤造成同質化競爭，讓他直覺意識到必須轉型。	Vacanza 假期飾品 Part 2：蟲蟲登場，聊品牌名由來、六攤全盛時期與年收破千萬的擴張思考。	ready-for-review
11	在東區顯赫商圈開店前，Vacanza 創辦人亦與蟲蟲每天在擺攤時望著對面那家店，把「有一天租下它」當成夢想。Part 3 揭曉他們如何從一句岳母的叮嚀走向開店：租金十幾萬租不起就切一半分租，裝潢只花三十多萬、連招牌都沒有，卻靠著從地攤延續而來的服務與熱情，讓一家小店月營收一路衝上兩百多萬。	一句叮嚀，種下開店的種子｜蟲蟲的媽媽一句「不能永遠擺攤，難道要邊擺攤邊推娃娃車」，讓亦心中萌生開店念頭。他們並非貿然開店，而是靠六個攤位建立穩定的第一成長曲線、現金流足以負荷後，才在東區做小規模試錯的突破。 ‖ 租不起就切一半，把夢想先搬進門｜東區店租一個月十幾萬，是夜市攤位幾千塊的幾十倍。他們負擔不起整間，便把店切一半分租給別人，自己只用一半、裝潢僅花三十多萬、連招牌都沒有，就這樣圓了「在東區有一間店」的夢。 ‖ 服務與熱情，是地攤練出的差異化｜商品沒有太大差異時，亦與蟲蟲把擺攤那套近距離互動搬進店裡：主動幫客人試戴、預判需求。蟲蟲更記得打工時老闆娘的話，客人願意走下十階樓梯，就該認真對待每一位走進來的人。	Vacanza Part 3：亦與蟲蟲在東區租不起整間店，切一半開店、靠地攤練出的服務熱情，讓小店月營收衝破兩百萬。	ready-for-review
12	一間爆紅小店擠到不舒服，Vacanza 假期飾品該怎麼辦？Part 4 裡，亦與蟲蟲拆解他們如何從東區一路展店到信義威秀，甚至喊出「有一天我們也要在這裡」後真的顯化成功。當百元飾品大軍湧入賽道，他們選擇用醫療鋼與規模化拉開品質差距，把過敏率壓到 2%，最終走向飾品終身保固，把不可控的產業痛點扛在自己身上。	擴張不是衝動，是養兵再打｜亦說快速展店的底氣，來自第一間店打磨夠久、團隊在小規模化過程中養出可用的人才。每擴張一次就得把分散各地的新人培養起來、養兵歇息一陣，才追下一波成長。 ‖ 先喊出願望，再毅然決然去問｜看著信義威秀整排國際品牌，他們對自己說「有一天我們也要在這裡」。當原本的 Accessorize 撤櫃，他們擇日不如撞日，用東區與南西店的營收粗算風險，確認不會虧到全賠就衝，半年後衝上一個月 260 至 280 萬。 ‖ 把不可控的產業痛點扛起來｜面對百元飾品削價競爭，Vacanza 選擇用醫療鋼、要求 OEM 多兩刀不電鍍耳針來拉高品質，把過敏率壓到 2%。但他們發現連純金都會過敏、體質也會變，於是規劃三年，用終身保固直接承接損壞與過敏的損失。	Vacanza 假期飾品 Part 4：亦與蟲蟲談展店信義威秀、醫療鋼品質戰與飾品終身保固。	ready-for-review
13	最終回 Part 5，假期飾品 Vacanza 創辦人夫婦亦與蟲蟲揭開「一店一設計」的思考：為什麼每間店都不一樣、為沒有耳洞女生開的二夾專門所，還有那張讓男友能充電喝飲料的男友寄放區。他們從路邊擺攤做到年營收七億多，坦白分享複合店為何算不過帳卻仍要做、永續與品牌溢價，以及夫妻如何在公司與家庭裡「輪流當老闆」維持長久關係。	擴大賽道，而非硬擠進紅海｜亦與蟲蟲觀察到沒有耳洞的女生只能買耳針飾品再改成耳夾、被迫將就，於是開了二夾專門所。有一群 TA 卻沒有場景滿足，先解決痛點就自然有需求，等於把整個賽道做大，而不是貿然投入競爭環境。 ‖ 男友寄放區：照顧陪逛者就是照顧生意｜他們抓到男生陪女友逛街很有壓力的 insight，在店裡設男友寄放區，提供座位、能量飲料、沙龍 Pass 與充電器。當男友被照顧到、沒有壓力，女友逛得更安心、買得更多，細節體驗反而成了品牌黏著度。 ‖ 刻意選困難的路，夫妻輪流當老闆｜複合店損益怎麼算都不賺錢仍堅持自營餐飲，因為困難的選擇往往帶來更多養分。而經營十幾年、養三個小孩的秘訣是分工：公司裡誰更在意品牌就由誰主導、另一人當副手，家庭則反過來，靠輪流當老闆化解衝突。	Storys EP13 最終回：Vacanza 亦與蟲蟲談一店一設計、男友寄放區與夫妻共同創業如何平衡。	ready-for-review
